Camponotus spp, Eylül, 13:00, İstanbul, , http://www.karincaciftligim.com/index.php?/topic/84-bulunma-09092015/ 
Solenopsis spp, Mayıs, 18:00, Miniatürk'ün yanındaki park/İstanbul, 25-30 derece, http://www.karincaciftligim.com/index.php?/topic/648-multi-kraliçe-buldum/
Lasius Niger,  Haziran, , Bursa, , http://www.karincaciftligim.com/index.php?/topic/650-türü-lasius-niger-mi/
Tetramorium spp, Haziran, , Bursa, , http://www.karincaciftligim.com/index.php?/topic/650-türü-lasius-niger-mi/
Cataglyphis spp, Haziran, , Çanakkale, , http://www.karincaciftligim.com/index.php?/topic/656-cataglyphis-sp-mi/
Messor spp, Haziran, , Uşak, , http://www.karincaciftligim.com/index.php?/topic/660-kraliçe-mi/
Camponotus spp, Mayıs, 17:00, , , http://www.karincaciftligim.com/index.php?/topic/627-atl%C4%B1-kar%C4%B1nca-krali%C3%A7esi-mi/
Cataglyphis spp, Haziran, 13:00, Üçgen Bölgesi/Denizli, , http://www.karincaciftligim.com/index.php?/topic/687-cataglyphis/
Formica spp, Haziran, 10:00, Bursa, , http://www.karincaciftligim.com/index.php?/topic/695-yeni-bir-kar%C4%B1nca-yeni-bir-macera/
Lasius Neglectus, Haziran, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/685-10-taneden-fazla-krali%C3%A7e-buldum/
Pheidole Pallidula, Haziran, 20:00, Kocaeli, , http://www.karincaciftligim.com/index.php?/topic/716-t%C3%BCr%C3%BC-nedir/
Cataglyphis spp, Haziran, , , , http://www.karincaciftligim.com/index.php?/topic/722-krali%C3%A7e-mi/
Camponotus spp, Haziran, 20:00, Çan/Çanakkale, 24 derece, http://www.karincaciftligim.com/index.php?/topic/733-t%C3%BCr%C3%BC-nedir/
Crematogaster spp, Haziran, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/740-t%C3%BCr%C3%BC-nedir/
Camponotus Piceus, Nisan, 12:00, Burdur, 26 derece toprak alan, http://www.karincaciftligim.com/index.php?/topic/744-t%C3%BCr%C3%BC-konusun-da-yard%C4%B1mc%C4%B1-olabilecek-var-m%C4%B1-%C3%B6rnek/
Cataglyphis spp, Haziran, , Manisa, , http://www.karincaciftligim.com/index.php?/topic/750-cataglyphis-krali%C3%A7eleri-buldum-tam-t%C3%BCr%C3%BC-bilen-var-m%C4%B1/
Formica spp, Haziran, , , , http://www.karincaciftligim.com/index.php?/topic/757-t%C3%BCr%C3%BC-nedir/
Formica spp, Haziran, 10:00, İstanbul, Hava sıcak, http://www.karincaciftligim.com/index.php?/topic/774-bu-krali%C3%A7enin-t%C3%BCr%C3%BC-nedir/
Solenopsis spp, Haziran, 16:00, Kocaeli, , http://www.karincaciftligim.com/index.php?/topic/776-krali%C3%A7emin-t%C3%BCr%C3%BC-nedir/
Cataglyphis spp, Haziran, 10:00, Konya, 25 derece, http://www.karincaciftligim.com/index.php?/topic/778-t%C3%BCr%C3%BC-hakk%C4%B1n-da-yard%C4%B1m-edebilir-misiniz/
Pheidole spp, Temmuz, , Çorum, , http://www.karincaciftligim.com/index.php?/topic/804-krali%C3%A7e-mi-t%C3%BCr%C3%BC-ne/
Cataglyphis spp, Temmuz, , Çorum, , http://www.karincaciftligim.com/index.php?/topic/804-krali%C3%A7e-mi-t%C3%BCr%C3%BC-ne/
Lasius spp, Ağustos, 12:00, Giresun, 30 derece kaldırımda, http://www.karincaciftligim.com/index.php?/topic/862-t%C3%BCr%C3%BCn%C3%BC-bilmiyorum/
Lasius spp, Temmuz, 22:00, Çorum, Serin Gece Vakti Işığa Gelenler, http://www.karincaciftligim.com/index.php?/topic/858-krali%C3%A7e-ya%C4%9Fmuru/
Camponotus spp, Ağustos, 23:00,Ankara, , http://www.karincaciftligim.com/index.php?/topic/868-bu-krali%C3%A7e-mi/
Camponotus spp, Ağustos, , Antalya, Akşam vakti parkta, http://www.karincaciftligim.com/index.php?/topic/880-t%C3%BCr%C3%BC-nedir/
Camponotus spp, Temmuz, , Çorum, , http://www.karincaciftligim.com/index.php?/topic/901-yard%C4%B1m-l%C3%BCtfen/
Tetramorium spp, Temmuz, , İstanbul, Evin içinde, http://www.karincaciftligim.com/index.php?/topic/918-t%C3%BCr%C3%BC-nedir/
Camponotus Piceus, Ağustos, , , , http://www.karincaciftligim.com/index.php?/topic/972-t%C3%BCr%C3%BC-nedir/
Messor spp, Eylül, 15:00, , , http://www.karincaciftligim.com/index.php?/topic/1014-yard%C4%B1m-l%C3%BCtfen-t%C3%BCr%C3%BC-nedir/
Messor spp, Eylül, 18:00, İzmir, Kaldırım kenarında, http://www.karincaciftligim.com/index.php?/topic/1024-krali%C3%A7e-mi-ondan-bile-emin-de%C4%9Filim/
Messor spp, Eylül, , , Yağmur sonrası, http://www.karincaciftligim.com/index.php?/topic/1019-krali%C3%A7e-mi/
Formica spp, Ekim, , , Akşam üzeri sokak lambasının altında, http://www.karincaciftligim.com/index.php?/topic/1076-krali%C3%A7e-mi/
Solenopsis Fugax, Ekim, , Bursa, , http://www.karincaciftligim.com/index.php?/topic/1059-u%C3%A7u%C5%9F-ve-t%C3%BCr%C3%BC/
Messor spp, Ekim, , Tekirdağ, , http://www.karincaciftligim.com/index.php?/topic/1081-krali%C3%A7e-buldum/
Messor spp, Ekim, , İzmir, , http://www.karincaciftligim.com/index.php?/topic/1089-krali%C3%A7e-buldum/
Messor spp, Ekim, 15:00, Ankara, Yağmurlu, http://www.karincaciftligim.com/index.php?/topic/1116-cinsi-nedir/
Lasius spp, Ağustos, 14:00, Sancaktepe/İstanbul, Sıcak, http://www.karincaciftligim.com/index.php?/topic/939-t%C3%BCr%C3%BC-nedir/
Messor spp, Kasım, , Denizli, , http://www.karincaciftligim.com/index.php?/topic/1149-messor-barbarus-krali%C3%A7esi-mi/
Messor Barbarus, Kasım, , Denizli, , http://www.karincaciftligim.com/index.php?/topic/1159-messor-barbarus-red-head-mi/
Solenopsis Fugax, Ekim, 18:00, Konya, 20 derece %40 nem, http://www.karincaciftligim.com/index.php?/topic/1108-bunlar-kar%C4%B1nca-m%C4%B1/
Crematogaster spp, Kasım, 15:00, İstanbul, 20 derece rüzgarlı, http://www.karincaciftligim.com/index.php?/topic/1157-cins-yard%C4%B1m%C4%B1/
Messor spp, Kasım, 16:00, Kayseri, Güneşli, http://www.karincaciftligim.com/index.php?/topic/1160-messor-barbarus-krali%C3%A7esi-mi-nas%C4%B1l-ay%C4%B1rt-edece%C4%9Fim/
Messor spp, Kasım, 15:00, Konya, Hava Kapalı, http://www.karincaciftligim.com/index.php?/topic/1165-mutluyum-messorum-oldu/
Messor spp, Kasım, , , , http://www.karincaciftligim.com/index.php?/topic/1179-bu-krali%C3%A7elerin-t%C3%BCr%C3%BC-ne/
Messor spp, Kasım, , , , http://www.karincaciftligim.com/index.php?/topic/1170-krali%C3%A7e-mi/
Messor spp, Kasım, , , , http://www.karincaciftligim.com/index.php?/topic/1211-t%C3%BCr%C3%BC-ne/
Messor spp, Aralık, , , , http://www.karincaciftligim.com/index.php?/topic/1275-cinsi-ne/
Messor spp, Aralık, , , , http://www.karincaciftligim.com/index.php?/topic/1279-bunlar-krali%C3%A7e-mi/
Tetramorium spp, Nisan, 06:00, Mustafa Kemal Paşa/Bursa, 20 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/64-tetramorium/
Camponotus spp, Nisan, 16:00, Kırıkkale, 25 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/19-camponotus-fellah/
Camponotus spp, Nisan, , , , http://www.karincaciftligim.com/index.php?/blogs/entry/53-camponotus-bulunma-17042016/
Camponotus spp, Nisan, , , , http://www.karincaciftligim.com/index.php?/blogs/entry/52-camponotus-fellah-bulunma-20042016/
Lasius Neglectus, Mayıs, 16:00, Bursa, 25 derece güneşli, http://www.karincaciftligim.com/index.php?/blogs/entry/35-lasius-neglectus/
Tetramorium Caespitum, Haziran, 06:00, Ataşehir/İstanbul, 27 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/50-tetramorium-caespitum/
Lasius Niger, Haziran, , , , http://www.karincaciftligim.com/index.php?/blogs/entry/11-lasius-niger-1-bulunma-07062015/
Camponotus Fellah, Temmuz, , , , http://www.karincaciftligim.com/index.php?/blogs/entry/70-camponotus-bulunma-23072016/
Camponotus spp, Temmuz, 10:00, Bursa, 25 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/61-06072016/
Cataglyphis spp, Ağustos, , , , http://www.karincaciftligim.com/index.php?/blogs/entry/66-cataglyphis-nodus-bulunma-23062016/
Lasius spp, Eylül, 15:00, Yenişehir/Bursa, Yağmur Öncesi, -
Lasius spp, Ekim, 20:00, Yenişehir/Bursa, Morötesi Işık, -
Messor spp, Kasım, 16:00, İstanbul, 12 derece yağışlı, -
Messor spp, Kasım, 12:00, Denizli, 15 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/51-messor-2/
Messor spp, Kasım, 16:00, Denizli, 17 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/75-messor-barbarus-bulunma-04112016/
Messor spp, Eylül, , İstanbul, , http://www.karincaciftligim.com/index.php?/blogs/entry/10-messor-bulunma-14092015/
Messor Barbarus, Eylül, , İstanbul, , http://www.karincaciftligim.com/index.php?/blogs/entry/6-kod02-messor-barbarus-bulunma-27-eylül-2015/
Tetramorium Caespitum, Eylül, , İstanbul, , http://www.karincaciftligim.com/index.php?/blogs/entry/9-tetramorium-ceaspitum-bulunma-23-eylül-2015/
Tetramorium spp, Mayıs, 14:00, İstanbul, Evin balkonunda, http://www.karincaciftligim.com/index.php?/blogs/entry/32-tetramorium-sp-30052016/
Lasius spp, Haziran, 10:00, Bilecik, 25 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/37-lasius-spp-16062016-22062016/
Messor spp, Mart, , Çanakkale, , http://www.karincaciftligim.com/index.php?/blogs/entry/17-messor-bulunma-08032016/
Camponotus spp, Nisan, 22:00, Çan/Çanakkale, 20 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/31-camponotus-fellah/
Lasius Neglectus, Mayıs, 13:00, Çanakkale, , http://www.karincaciftligim.com/index.php?/blogs/entry/44-lasius-neglectus-1-240516/
Cataglyphis Nodus, Haziran, 11:00, Çanakkale, 30 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/46-cataglyphis-nodus-03062016/
Solenopsis Fugax, Kasım, , Topraklık/Denizli, , http://www.karincaciftligim.com/index.php?/blogs/entry/47-solenopsis-fugax-1/
Camponotus spp, Nisan, 16:00, Kırıkkale, 25 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/19-camponotus-fellah/
Camponotus Vagus, Haziran, 16:00, Banaz/Uşak, Yağmur Sonrası, http://www.karincaciftligim.com/index.php?/blogs/entry/39-camponotus-vagus/
Cataglyphis Nodus, Haziran, 18:00, Manisa, 35 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/58-cataglyphis-nodus-bulunma-25-haz-2016/
Pheidole spp, Haziran, 20:00, Kocaeli, Ilık, http://www.karincaciftligim.com/index.php?/blogs/entry/38-pheidole/
Lasius Neglectus, Haziran, , Kocaeli, Güneşli, http://www.karincaciftligim.com/index.php?/blogs/entry/59-lasius-neglectus-öldü/
Camponotus spp, Haziran, , Kocaeli, Güneşli, http://www.karincaciftligim.com/index.php?/blogs/entry/57-componotus/
Formica Rufibarbis, Haziran, , Eskişehir, , http://www.karincaciftligim.com/index.php?/blogs/entry/7-formica-rufibarbis-bulunma-15062015/
Formica Cunicularia, Haziran, , Eskişehir, , http://www.karincaciftligim.com/index.php?/blogs/entry/8-formica-cunicularia-bulunma15062015/
Messor Structor, Mart, , Eskişehir, , http://www.karincaciftligim.com/index.php?/blogs/entry/62-messor-structor-mart2016/
Camponotus spp, Mayıs, , Eskişehir, , http://www.karincaciftligim.com/index.php?/blogs/entry/63-camponotus-sp-mayıs2016/
Tetramorium spp, Nisan, 06:00, Bursa, 15 derece, http://www.karincaciftligim.com/index.php?/blogs/entry/64-tetramorium/
Camponotus Fellah, Temmuz, , Burdur, , http://www.karincaciftligim.com/index.php?/blogs/entry/70-camponotus-bulunma-23072016/
Messor spp, Ekim, , İzmir, , http://www.karincaciftligim.com/index.php?/blogs/entry/71-ilk-buluş/
Lasius Niger, Haziran, , Burdur, , http://www.karincaciftligim.com/index.php?/blogs/entry/11-lasius-niger-1-bulunma-07062015/
Camponotus spp, Nisan, , Burdur, , http://www.karincaciftligim.com/index.php?/blogs/entry/52-camponotus-fellah-bulunma-20042016/
Camponotus spp, Nisan, , Burdur, , http://www.karincaciftligim.com/index.php?/blogs/entry/53-camponotus-bulunma-17042016/
Messor Structor, Mart, , Burdur, , http://www.karincaciftligim.com/index.php?/blogs/entry/16-messor-structor-bulunma-12032016/
Formica Pallidefulva, Nisan, , Burdur, , http://www.karincaciftligim.com/index.php?/blogs/entry/15-formica-pallidefulva-bulunma-04042016/
Lasius Niger, Haziran, , Burdur, , http://www.karincaciftligim.com/index.php?/blogs/entry/12-lasius-niger-2-bulunma-07062015/
Cataglyphis Nodus, Haziran, , Burdur, , http://www.karincaciftligim.com/index.php?/blogs/entry/66-cataglyphis-nodus-bulunma-23062016/
Messor spp, Nisan, , Ankara, , http://www.karincaciftligim.com/index.php?/profile/159-omega/
Formica Rufibarbis, Haziran, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/17-formica-rufibarbis-bulunma-14062015/
Lasius Niger, Haziran, , Eskişehir, , http://www.karincaciftligim.com/index.php?/topic/55-lasius-niger-bulunma-13062015/
Messor Barbarus, Eylül, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/121-messor-barbarus-bulunma-27092015-pazar/
Camponotus Aethiops, Eylül, , , , http://www.karincaciftligim.com/index.php?/topic/122-camponotus-aethiops-bulunma-09092015/
Messor Barbarus, Ekim, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/119-messor-barbarus-01102015/
Messor spp, Kasım, , Denizli, Yağmurlu , http://www.karincaciftligim.com/index.php?/topic/209-messor-barbarus-27-28-29112015/
Messor Barbarus, Eylül, 13:00, İstanbul, Yağmur Sonrası, http://www.karincaciftligim.com/index.php?/topic/252-kod01-messor-barbarus-bulunma-27-eyl%C3%BCl-2015/
Camponotus Lateralis, Haziran, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/14-camponotus-lateralis-12062014-g%C3%BCncelleme-11112015/
Messor spp, Mart, , Burdur, , http://www.karincaciftligim.com/index.php?/topic/361-messor-bulunma-12-mart-2016/
Messor Structor, Mart, 12:00, Manisa, , http://www.karincaciftligim.com/index.php?/topic/339-messor-structor-04032016-yeni-mass%C3%BCl/
Messor spp, Mart, 12:00, Manisa, Güneşli, http://www.karincaciftligim.com/index.php?/topic/370-messor-23032016-1200/
Crematogaster Genus, Eylül, , Burdur, , http://www.karincaciftligim.com/index.php?/topic/351-crematogaster-genus-bulunma-09-eyl%C3%BCl-2015/
Messor Structor, Kasım, 17:00, Kocaeli, , http://www.karincaciftligim.com/index.php?/topic/174-messor-structor/
Cataglyphis Nodus, Haziran, , Burdur, , http://www.karincaciftligim.com/index.php?/topic/77-kar%C4%B1nca-koloni-listem/
Camponotus spp, Nisan, , Manisa, 25 derece, http://www.karincaciftligim.com/index.php?/topic/623-camponotus-fellah-bulunma-23-nisan-2016-rahmetli/
Camponotus spp, Mayıs, 16:00, İstanbul, 30 derece, http://www.karincaciftligim.com/index.php?/topic/639-compotus4/
Lasius Niger, Mayıs, 10:00, Muratpaşa/Antalya, 30 derece, http://www.karincaciftligim.com/index.php?/topic/647-lasius-niger-30-may%C4%B1s-2016/
Lasius Niger, Mayıs, 17:00, İstanbul, Yağmur sonrası, http://www.karincaciftligim.com/index.php?/topic/669-lasius-niger-bulunma-03062016/
Tapinoma spp, Mayıs, 15:00, İzmir, 25 derece, http://www.karincaciftligim.com/index.php?/topic/594-g%C3%BCnl%C3%BCk-1/
Cataglyphis spp, Haziran, 13:00, İzmir, 30 derece, http://www.karincaciftligim.com/index.php?/topic/689-cataglyphis-velox-001/
Pheidole Pallidula, Haziran, 20:00, Manisa, 30 derece, http://www.karincaciftligim.com/index.php?/topic/730-pheidole-pallidula-bulunma-12-haziran-2016/
Camponotus spp, Haziran, 22:00, Topraklık/Denizli, 32 derece, http://www.karincaciftligim.com/index.php?/topic/727-campotus-fellah-19062016/
Camponotus spp, Temmuz, , Bursa, , http://www.karincaciftligim.com/index.php?/topic/816-camponotus-fellah/
Cataglyphis Nodus, Temmuz, 14:00, Yenişehir/Bursa, 25 derece serin, http://www.karincaciftligim.com/index.php?/topic/808-cataglyphis-mevsimi-ba%C5%9Flam%C4%B1%C5%9F/
Camponotus spp, Ağustos, 19:00, Antalya, 30 derece, http://www.karincaciftligim.com/index.php?/topic/962-%C3%A7iftlik-i%C3%A7in-ilk-ad%C4%B1m/
zx, Ocak, 02:00, Adıyaman, 2, 2
